Olympique Mars…;Marseille
Olympique Lyonnais;Lyon
Auxerre;Auxerre
Lille;Lille
Montpellier;Montpellier
Bordeaux;Bordeaux
Lorient;Lorient
Monaco;Monaco
Rennes;Rennes
Valenciennes;Valenciennes
Lens;Lens
Nancy;Nancy
PSG;Paris SG
Toulouse;Toulouse
Nice;Nice
Sochaux;Sochaux
Saint-Étienne;St Etienne
Le Mans;Le Mans
Boulogne;Boulogne
Grenoble Foot 38;Grenoble
Caen;Caen
Brest;Brest
Arles-Avignon;Arles
Evian TG;Evian Thonon Gaillard
Ajaccio;Ajaccio
Dijon;Dijon
Bastia;Bastia
Reims;Reims
Troyes;Troyes
Nantes;Nantes
Guingamp;Guingamp
Metz;Metz
Angers SCO;Angers
Gazélec Ajaccio;Ajaccio GFCO
Amiens SC;Amiens
Caen;Caen
Brest;Brest
Arles-Avignon;Arles
Metz;Metz
Angers SCO;Angers
Clermont;Clermont
Le Havre;Le Havre
Laval;Laval
Dijon;Dijon
Nîmes;Nimes
Tours;Tours
Sedan;Sedan
Ajaccio;Ajaccio
Vannes;Vannes
Nantes;Nantes
Châteauroux;Chateauroux
Istres;Istres
Guingamp;Guingamp
Strasbourg;Strasbourg
Bastia;Bastia
Evian TG;Evian Thonon Gaillard
Le Mans;Le Mans
Boulogne;Boulogne
Reims;Reims
Troyes;Troyes
Grenoble Foot 38;Grenoble
Monaco;Monaco
Lens;Lens
Amiens SC;Amiens
Auxerre;Auxerre
Niort;Niort
Gazélec Ajaccio;Ajaccio GFCO
Nancy;Nancy
Créteil;Creteil
CA Bastia;CA Bastia
Sochaux;Sochaux
Valenciennes;Valenciennes
Orléans;Orleans
Red Star;Red Star
Bourg-en-Bresse;Bourg Peronnas
Paris;Paris FC
Lorient;Lorient
Quevilly Rouen;Quevilly Rouen
Béziers;Beziers
Atalanta;Atalanta
Bari;Bari
Benevento;Benevento
Bologna;Bologna
Brescia;Brescia
Cagliari;Cagliari
Carpi;Carpi
Catania;Catania
Cesena;Cesena
Chievo;Chievo
Crotone;Crotone
Empoli;Empoli
Fiorentina;Fiorentina
Frosinone;Frosinone
Genoa;Genoa
Hellas Verona;Verona
Internazionale;Inter
Juventus;Juventus
Lazio;Lazio
Lecce;Lecce
Livorno;Livorno
Milan;Milan
Napoli;Napoli
Novara;Novara
Palermo;Palermo
Parma;Parma
Pescara;Pescara
Robur Siena;Siena
Roma;Roma
Sampdoria;Sampdoria
Sassuolo;Sassuolo
SPAL;Spal
Torino;Torino
Udinese;Udinese
AlbinoLeffe;Albinoleffe
Ancona;Ancona
Ascoli;Ascoli
Atalanta;Atalanta
Avellino;Avellino
Bari;Bari
Benevento;Benevento
Bologna;Bologna
Brescia;Brescia
Cagliari;Cagliari
Calcio Padova;Padova
Carpi;Carpi
Cesena;Cesena
Cittadella;Cittadella
Cosenza;Cosenza
Cremonese;Cremonese
Crotone;Crotone
Empoli;Empoli
Foggia;Foggia
Frosinone;Frosinone
Grosseto;Grosseto
Hellas Verona;Verona
Juve Stabia;Juve Stabia
Latina;Latina
Lecce;Lecce
Livorno;Livorno
Modena;Modena
Novara;Novara
Padova;Padova
Palermo;Palermo
Parma;Parma
Perugia;Perugia
Pescara;Pescara
Piacenza;Piacenza
Pro Vercelli;Pro Vercelli
Reggina;Reggina
Robur Siena;Siena
Salernitana;Salernitana
Sampdoria;Sampdoria
Sassuolo;Sassuolo
SPAL;Spal
Spezia;Spezia
Ternana;Ternana
Torino;Torino
Trapani;Trapani
Triestina;Triestina
Varese;Varese
Venezia;Venezia
Vicenza Virtus;Vicenza
Virtus Entella;Virtus Entella
Virtus Lanciano;Virtus Lanciano
Almería;Almeria
Athletic Club;Ath Bilbao
Atlético Madrid;Ath Madrid
Barcelona;Barcelona
Celta de Vigo;Celta
Córdoba;Cordoba
Deportivo Alavés;Alaves
Deportivo La C…;La Coruna
Eibar;Eibar
Elche;Elche
Espanyol;Espanol
Getafe;Getafe
Girona;Girona
Granada;Granada
Hércules;Hercules
Huesca;Huesca
Las Palmas;Las Palmas
Leganés;Leganes
Levante;Levante
Málaga;Malaga
Mallorca;Mallorca
Osasuna;Osasuna
Racing Santander;Santander
Rayo Vallecano;Vallecano
Real Betis;Betis
Real Madrid;Real Madrid
Real Sociedad;Sociedad
Real Valladolid;Valladolid
Real Zaragoza;Zaragoza
Sevilla;Sevilla
Sporting Gijón;Sp Gijon
Tenerife;Tenerife
Valencia;Valencia
Villarreal;Villarreal
Xerez;Xerez
Albacete;Albacete
Alcorcón;Alcorcon
Almería;Almeria
Barcelona II;Barcelona B
Cádiz;Cadiz
Celta de Vigo;Celta
Córdoba;Cordoba
Cultural Leonesa;Leonesa
Deportivo Alavés;Alaves
Deportivo La C…;La Coruna
Eibar;Eibar
Elche;Elche
Extremadura UD;Extremadura UD
FC Cartagena;Cartagena
Getafe;Getafe
Gimnàstic Tarr…;Gimnastic
Girona;Girona
Granada;Granada
Guadalajara;Guadalajara
Hércules;Hercules
Huesca;Huesca
Las Palmas;Las Palmas
Leganés;Leganes
Levante;Levante
Llagostera;Llagostera
Lugo;Lugo
Málaga;Malaga
Mallorca;Mallorca
Mirandés;Mirandes
Numancia;Numancia
Osasuna;Osasuna
Ponferradina;Ponferradina
Racing Santander;Santander
Rayo Majadahonda;Rayo Majadahonda
Rayo Vallecano;Vallecano
Real Betis;Betis
Real Madrid II;Real Madrid B
Real Murcia;Murcia
Real Oviedo;Oviedo
Real Sociedad;Sociedad
Real Valladolid;Valladolid
Real Zaragoza;Zaragoza
Recreativo Huelva;Recreativo
Reus Deportiu;Reus Deportiu
Sabadell;Sabadell
Sevilla II;Sevilla B
Sporting Gijón;Sp Gijon
Tenerife;Tenerife
UCAM Murcia;UCAM Murcia
UD Salamanca;Salamanca
Villarreal;Villarreal
Villarreal II;Villarreal B
Xerez;Xerez
ADO Den Haag;Den Haag
Ajax;Ajax
AZ;AZ Alkmaar
Cambuur;Cambuur
De Graafschap;Graafschap
Dordrecht;Dordrecht
Emmen;FC Emmen
Excelsior;Excelsior
Feyenoord;Feyenoord
Fortuna Sittard;For Sittard
Go Ahead Eagles;Go Ahead Eagles
Groningen;Groningen
Heerenveen;Heerenveen
Heracles;Heracles
NAC Breda;NAC Breda
NEC;Nijmegen
PEC Zwolle;Zwolle
PSV;PSV Eindhoven
RKC Waalwijk;Waalwijk
Roda JC;Roda
Sparta Rotterdam;Sparta Rotterdam
Twente;Twente
Utrecht;Utrecht
Vitesse;Vitesse
VVV;VVV Venlo
Willem II;Willem II
Académica;Academica
Arouca;Arouca
Beira-Mar;Beira Mar
Belenenses;Belenenses
Benfica;Benfica
Boavista;Boavista
Chaves;Chaves
Desportivo Aves;Aves
Estoril;Estoril
Feirense;Feirense
Gil Vicente;Gil Vicente
Leixões;Leixoes
Marítimo;Maritimo
Moreirense;Moreirense
Nacional;Nacional
Naval 1º de Maio;Naval
Olhanense;Olhanense
Paços de Ferreira;Pacos Ferreira
Penafiel;Penafiel
Portimonense;Portimonense
Porto;Porto
Rio Ave;Rio Ave
Santa Clara;Santa Clara
Sporting Braga;Sp Braga
Sporting CP;Sp Lisbon
Tondela;Tondela
União de Leiria;Leiria
União Madeira;Uniao Madeira
Vitória Guimarães;Guimaraes
Vitória Setúbal;Setubal
AFC Bournemouth;Bournemouth
Aston Villa;Aston Villa
Barnsley;Barnsley
Birmingham City;Birmingham
Blackburn Rovers;Blackburn
Blackpool;Blackpool
Bolton Wanderers;Bolton
Brentford;Brentford
Brighton & Hov…;Brighton
Bristol City;Bristol City
Burnley;Burnley
Burton Albion;Burton
Cardiff City;Cardiff
Charlton Athletic;Charlton
Coventry City;Coventry
Crystal Palace;Crystal Palace
Derby County;Derby
Doncaster Rovers;Doncaster
Fulham;Fulham
Huddersfield Town;Huddersfield
Hull City;Hull
Ipswich Town;Ipswich
Leeds United;Leeds
Leicester City;Leicester
Middlesbrough;Middlesbrough
Millwall;Millwall
Milton Keynes Dons;Milton Keynes Dons
Newcastle United;Newcastle
Norwich City;Norwich
Nottingham Forest;Nott'm Forest
Peterborough U…;Peterboro
Plymouth Argyle;Plymouth
Portsmouth;Portsmouth
Preston North End;Preston
Queens Park Ra…;QPR
Reading;Reading
Rotherham United;Rotherham
Scunthorpe United;Scunthorpe
Sheffield United;Sheffield United
Sheffield Wedn…;Sheffield Weds
Southampton;Southampton
Stoke City;Stoke
Sunderland;Sunderland
Swansea City;Swansea
Watford;Watford
West Bromwich …;West Brom
West Ham United;West Ham
Wigan Athletic;Wigan
Wolverhampton …;Wolves
Yeovil Town;Yeovil
AFC Bournemouth;Bournemouth
Arsenal;Arsenal
Aston Villa;Aston Villa
Birmingham City;Birmingham
Blackburn Rovers;Blackburn
Blackpool;Blackpool
Bolton Wanderers;Bolton
Brighton & Hov…;Brighton
Burnley;Burnley
Cardiff City;Cardiff
Chelsea;Chelsea
Crystal Palace;Crystal Palace
Everton;Everton
Fulham;Fulham
Huddersfield Town;Huddersfield
Hull City;Hull
Leicester City;Leicester
Liverpool;Liverpool
Manchester City;Man City
Manchester United;Man United
Middlesbrough;Middlesbrough
Newcastle United;Newcastle
Norwich City;Norwich
Portsmouth;Portsmouth
Queens Park Ra…;QPR
Reading;Reading
Southampton;Southampton
Stoke City;Stoke
Sunderland;Sunderland
Swansea City;Swansea
Tottenham Hotspur;Tottenham
Watford;Watford
West Bromwich …;West Brom
West Ham United;West Ham
Wigan Athletic;Wigan
Wolverhampton …;Wolves
Augsburg;Augsburg
Bayer Leverkusen;Leverkusen
Bayern München;Bayern Munich
Bochum;Bochum
Borussia Dortmund;Dortmund
Borussia M'gla…;M'gladbach
Darmstadt 98;Darmstadt
Eintracht Brau…;Braunschweig
Eintracht Fran…;Ein Frankfurt
Fortuna Düsseldorf;Fortuna Dusseldorf
Freiburg;Freiburg
Greuther Fürth;Greuther Furth
Hamburger SV;Hamburg
Hannover 96;Hannover
Hertha BSC;Hertha
Hoffenheim;Hoffenheim
Ingolstadt;Ingolstadt
Kaiserslautern;Kaiserslautern
Köln;FC Koln
Mainz 05;Mainz
Nurnberg;Nurnberg
Paderborn;Paderborn
RB Leipzig;RB Leipzig
Schalke 04;Schalke 04
St. Pauli;St Pauli
Stuttgart;Stuttgart
Werder Bremen;Werder Bremen
Wolfsburg;Wolfsburg
1860 München;Munich 1860
Aalen;Aalen
Alemannia Aachen;Aachen
Arminia Bielefeld;Bielefeld
Augsburg;Augsburg
Bochum;Bochum
Darmstadt 98;Darmstadt
Dynamo Dresden;Dresden
Eintracht Brau…;Braunschweig
Eintracht Fran…;Ein Frankfurt
Energie Cottbus;Cottbus
Erzgebirge Aue;Erzgebirge Aue
Fortuna Düsseldorf;Fortuna Dusseldorf
Freiburg;Freiburg
FSV Frankfurt;Frankfurt FSV
Greuther Fürth;Greuther Furth
Hamburger SV;Hamburg
Hannover 96;Hannover
Hansa Rostock;Hansa Rostock
Heidenheim;Heidenheim
Hertha BSC;Hertha
Holstein Kiel;Holstein Kiel
Ingolstadt;Ingolstadt
Jahn Regensburg;Regensburg
Kaiserslautern;Kaiserslautern
Karlsruher SC;Karlsruhe
Koblenz;Koblenz
Köln;FC Koln
Magdeburg;Magdeburg
MSV Duisburg;Duisburg
Nürnberg;Nurnberg
Osnabrück;Osnabruck
Paderborn;Paderborn
RB Leipzig;RB Leipzig
Rot Weiss Ahlen;Ahlen
Rot-Weiß Oberh…;Oberhausen
Sandhausen;Sandhausen
St. Pauli;St Pauli
Stuttgart;Stuttgart
Union Berlin;Union Berlin
Würzburger Kickers;Wurzburger Kickers
Wehen Wiesbaden;Wehen Wiesbaden
ligue-1;F1
ligue-2;F2
serie-a;I1
serie-b;I2
primera-division;SP1
segunda-division;SP2
bundesliga;D1
2-bundesliga;D2
premier-league;E0
championship;E1
eredivisie;N1
portuguese-liga-;P1
Man United;Man Utd
Luton Town;Luton
Blackburn Rovers;Blackburn
Stoke City;Stoke
Swansea City;Swansea
Huddersfield Town;Huddersfield
Leeds United;Leeds
Birmingham City;Birmingham
Cardiff City;Cardiff
Charlton Athletic;Charlton
Derby County;Derby
Hull City;Hull
Preston North End;Preston
Queens Park Rangers;QPR
Sheffield Wednesday;Sheffield Weds
West Bromwich Albion;West Brom
Wigan Athletic;Wigan
Nottingham Forest;Nott'm Forest
Gr.Furth;Greuther Furth
Karlsruhe;Karlsruhe
Wehen;Wehen
Sandhausen;Sandhausen
FC Heidenheim;Heidenheim
Holstein Kiel;Holstein Kiel
Hannover 96;Hannover
Bielefeld;Bielefeld
Regensburg;Regensburg
VfB Stuttgart;Stuttgart
Darmstadt;Darmstadt
Nurnberg;Nurnberg
Bochum;Bochum
Dynamo Dresden;Dresden
Aue;Erzgebirge Aue
Osnabruck;Osnabruck
St.Pauli;St Pauli
Hamburger SV;Hamburg
Setubal;Setubal
Braga;Sp Braga
Famalicao;Famalicao
P.Ferreira;Pacos Ferreira
Benfica;Benfica
Gil Vicente;Gil Vicente
Guimaraes;Guimaraes
Aves;Aves
Maritimo;Maritimo
Belenenses;Belenenses
Rio Ave;Rio Ave
Tondela;Tondela
Santa Clara;Santa Clara
Moreirense;Moreirense
Portimonense;Portimonense
FC Porto;Porto
Boavista;Boavista
Sporting CP;Sp Lisbon
Liverpool;Liverpool
Newcastle;Newcastle
Brighton;Brighton
Burnley;Burnley
Manchester United;Man United
Leicester;Leicester
Tottenham;Tottenham
Crystal Palace;Crystal Palace
Wolverhampton;Wolves
Chelsea;Chelsea
Sheffield U;Sheffield United
Southampton;Southampton
Norwich;Norwich
Manchester City;Man City
Bournemouth;Bournemouth
Everton;Everton
Watford;Watford
Arsenal;Arsenal
Aston Villa;Aston Villa
West Ham;West Ham
Fort. Dusseldorf;Fortuna Dusseldorf
Wolfsburg;Wolfsburg
Union Berlin;Union Berlin
Werder Bremen;Werder Bremen
FC Koln;FC Koln
Bor. Monchengladbach;M'gladbach
Augsburg;Augsburg
Eintracht Frankfurt;Ein Frankfurt
Mainz 05;Mainz
Hertha Berlin;Hertha
Bor. Dortmund;Dortmund
Bayer Leverkusen;Leverkusen
RasenBallsport Leipz..;RB Leipzig
Bayern Munchen;Bayern Munich
Hoffenheim;Hoffenheim
Freiburg;Freiburg
Paderborn;Paderborn
Schalke 04;Schalke 04
Cagliari;Cagliari
Genoa;Genoa
Udinese;Udinese
Brescia;Brescia
Juventus;Juventus
Verona;Verona
AC Milan;Milan
Inter;Inter
Sassuolo;Sassuolo
Spal;Spal
Bologna;Bologna
Roma;Roma
Lecce;Lecce
SSC Napoli;Napoli
Sampdoria;Sampdoria
Torino;Torino
Atalanta;Atalanta
Fiorentina;Fiorentina
Lazio;Lazio
SSD Parma;Parma
Strasbourg;Strasbourg
Nantes;Nantes
Marseille;Marseille
Montpellier;Montpellier
Bordeaux;Bordeaux
Brest;Brest
Nimes;Nimes
Toulouse;Toulouse
Nice;Nice
Dijon;Dijon
Metz;Metz
Amiens;Amiens
Reims;Reims
Monaco;Monaco
Rennes;Rennes
Lille;Lille
Angers;Angers
St.Etienne;St Etienne
Lyon;Lyon
Paris SG;Paris SG
Nancy;Nancy
Chambly;Chambly
Orléans;Orleans
Le Havre;Le Havre
Paris FC;Paris FC
Clermont Foot;Clermont
Valenciennes;Valenciennes
Niort;Niort
Chateauroux;Chateauroux
Grenoble;Grenoble
Sochaux;Sochaux
Guingamp;Guingamp
Le Mans;Le Mans
Ajaccio;Ajaccio
Auxerre;Auxerre
Troyes;Troyes
Caen;Caen
Lens;Lens
Lorient;Lorient
Rodez;Rodez
Twente;Twente
Heracles;Heracles
Sparta;Sparta Rotterdam
Waalwijk;Waalwijk
Groningen;Groningen
Zwolle;Zwolle
Willem II;Willem II
Venlo;VVV Venlo
Vitesse;Vitesse
Fort.Sittard;For Sittard
Heerenveen;Heerenveen
Utrecht;Utrecht
Emmen;FC Emmen
Feyenoord;Feyenoord
PSV Eindhoven;PSV Eindhoven
Ajax;Ajax
Den Haag;Den Haag
AZ Alkmaar;AZ Alkmaar